"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16340","login using dynamic xpath1","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","3355","radio button","chromium","2026-08-15","passed","2026-08-15","","checkbox.spec.js","",""
"","8641","assertion task login","chromium","2026-08-15","failed","2026-08-15","","assertion.spec.js","",""
"","6710","multiple checkbox","chromium","2026-08-15","passed","2026-08-15","","checkbox.spec.js","",""
"","5506","scroll","chromium","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","6","test five @reg","chromium","2026-08-15","passed","2026-08-15","","tags.spec.js","",""
"","15054","keyboard action","firefox","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","1","banking","chromium","2026-08-15","passed","2026-08-15","others","groups.spec.js","",""
"","7617","simple","chromium","2026-08-15","passed","2026-08-15","","alert.spec.js","",""
"","7934","hover task","firefox","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","769","get started link","chromium","2026-08-15","passed","2026-08-15","","example.spec.js","",""
"","21226","page navigation","chromium","2026-08-15","passed","2026-08-15","","tabs.spec.js","",""
"","6666","confirmation alert","chromium","2026-08-15","passed","2026-08-15","","alert.spec.js","",""
"","0","personal","chromium","2026-08-15","skipped","2026-08-15","personalDetails","groups.spec.js","",""
"","14185","tabs task","chromium","2026-08-15","passed","2026-08-15","","tabs.spec.js","",""
"","3060","login using css","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","4312","nested frame","chromium","2026-08-15","passed","2026-08-15","","iframe.spec.js","",""
"","6485","double click","firefox","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","9288","table task page 2","chromium","2026-08-15","passed","2026-08-15","","table.spec.js","",""
"","6520","user three","chromium","2026-08-15","passed","2026-08-15","","hooks.spec.js","",""
"","30116","nested task","chromium","2026-08-15","broken","2026-08-15","","iframe.spec.js","",""
"","30067","file download","chromium","2026-08-15","broken","2026-08-15","","FileUpload.spec.js","",""
"","12396","right click","firefox","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","0","education","chromium","2026-08-15","skipped","2026-08-15","personalDetails","groups.spec.js","",""
"","8078","drag and drop","firefox","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","7240","login using xpath","chromium","2026-08-15","passed","2026-08-15","","dataDriven.spec.js","",""
"","6415","double click","chromium","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","4673","login using xpath axes1","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","12154","checkbox","chromium","2026-08-15","passed","2026-08-15","","checkbox.spec.js","",""
"","31452","login using dynamic xpath2","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","1573","hover task","chromium","2026-08-15","failed","2026-08-15","","action.spec.js","",""
"","30050","assertion","chromium","2026-08-15","failed","2026-08-15","","assertion.spec.js","",""
"","2182","user one","chromium","2026-08-15","passed","2026-08-15","","hooks.spec.js","",""
"","21561","login using built-in locators","chromium","2026-08-15","failed","2026-08-15","","login.spec.js","",""
"","7041","dropdown task","chromium","2026-08-15","passed","2026-08-15","","dropdown.spec.js","",""
"","15","termsAndCondition","chromium","2026-08-15","passed","2026-08-15","others","groups.spec.js","",""
"","6296","dropdown","chromium","2026-08-15","passed","2026-08-15","","dropdown.spec.js","",""
"","6349","drag and drop","chromium","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","6117","multi-select dropdown","chromium","2026-08-15","passed","2026-08-15","","dropdown.spec.js","",""
"","11686","right click","chromium","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","6271","single file upload","chromium","2026-08-15","passed","2026-08-15","","FileUpload.spec.js","",""
"","1","test one @reg","chromium","2026-08-15","passed","2026-08-15","","tags.spec.js","",""
"","8760","assertion task incorect password","chromium","2026-08-15","failed","2026-08-15","","assertion.spec.js","",""
"","8863","iframe","chromium","2026-08-15","passed","2026-08-15","","iframe.spec.js","",""
"","1805","user two","chromium","2026-08-15","passed","2026-08-15","","hooks.spec.js","",""
"","21006","handling multiple tabs","chromium","2026-08-15","passed","2026-08-15","","tabs.spec.js","",""
"","5383","table","chromium","2026-08-15","passed","2026-08-15","","table.spec.js","",""
"","12","test two @smoke","chromium","2026-08-15","passed","2026-08-15","","tags.spec.js","",""
"","4968","prompt","chromium","2026-08-15","passed","2026-08-15","","alert.spec.js","",""
"","8258","simple alert","chromium","2026-08-15","passed","2026-08-15","","alert.spec.js","",""
"","6337","login using dynamic xpath","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","1594","login using xpath axes2","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","1","experience","chromium","2026-08-15","skipped","2026-08-15","personalDetails","groups.spec.js","",""
"","6465","multiple file upload","chromium","2026-08-15","passed","2026-08-15","","FileUpload.spec.js","",""
"","6229","scroll","firefox","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","1","test three @smoke","chromium","2026-08-15","passed","2026-08-15","","tags.spec.js","",""
"","714","has title","chromium","2026-08-15","passed","2026-08-15","","example.spec.js","",""
"","6436","hover","firefox","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","24932","login using css test","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","5776","confirmation","chromium","2026-08-15","passed","2026-08-15","","alert.spec.js","",""
"","6544","prompt alert","chromium","2026-08-15","passed","2026-08-15","","alert.spec.js","",""
"","17902","keyboard action","chromium","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","16620","login using POM","chromium","2026-08-15","failed","2026-08-15","","POM.spec.js","",""
"","4816","iframe task","chromium","2026-08-15","passed","2026-08-15","","iframe.spec.js","",""
"","5263","radio task","chromium","2026-08-15","passed","2026-08-15","","checkbox.spec.js","",""
"","30005","facebook task","chromium","2026-08-15","broken","2026-08-15","","tabs.spec.js","",""
"","8517","simple alert","firefox","2026-08-15","passed","2026-08-15","","alert.spec.js","",""
"","3908","login using xpath","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","2595","screenshot","chromium","2026-08-15","passed","2026-08-15","","ss.spec.js","",""
"","3959","assertion task incorect username","chromium","2026-08-15","failed","2026-08-15","","assertion.spec.js","",""
"","7","test four @reg @smoke","chromium","2026-08-15","passed","2026-08-15","","tags.spec.js","",""
"","8321","DatePicker","chromium","2026-08-15","passed","2026-08-15","","datePicker.spec.js","",""
"","10299","tabs handling","chromium","2026-08-15","passed","2026-08-15","","tabs.spec.js","",""
"","3159","login using xpath axes","chromium","2026-08-15","passed","2026-08-15","","login.spec.js","",""
"","6390","hover","chromium","2026-08-15","passed","2026-08-15","","action.spec.js","",""
"","2968","confirmation alert","firefox","2026-08-15","failed","2026-08-15","","alert.spec.js","",""
